air_temperature [degree C]
relative_humidity [percentage]
wind_speed [m / s-1]
global_radiation [W / m-2]
solar_declination [rad]

time;air_temperature;relative_humidity;wind_speed;incident_global_irradiance;solar_declination
04/06/2012 00:00;17.78;56.83;1.902;0;-0.405614518
04/06/2012 01:00;17.52;55.69;1.694;0;-0.416261027
04/06/2012 02:00;17.38;54.95;1.632;0;-0.37768925
04/06/2012 03:00;17.86;58.94;2.215;0;-0.294437045
04/06/2012 04:00;16.64;56.64;1.567;0;-0.175231057
04/06/2012 05:00;17.39;47.49;2.009;6.8;-0.015358897
04/06/2012 06:00;17.11;47.02;2.007;29.91666667;0.141546202
04/06/2012 07:00;17.59;46.88;2.023;75.86111111;0.319744319
04/06/2012 08:00;19.14;47.82;2.546;255.5555556;0.506320016
04/06/2012 09:00;20.01;34.14;2.915;623.8888889;0.695513707
04/06/2012 10:00;21.96;31.76;3.029;814.7222222;0.880344075
04/06/2012 11:00;23.36;28.7;2.964;932.2222222;1.048244749
04/06/2012 12:00;24.5;25.99;2.758;965.5555556;1.171115928
04/06/2012 13:00;23.68;26.73;2.569;687.7777778;1.1974704
04/06/2012 14:00;24.75;23.28;2.977;725;1.109680338
04/06/2012 15:00;24.61;23.27;2.915;764.1666667;0.956265897
04/06/2012 16:00;24.75;24.76;3.063;591.9444444;0.77684605
04/06/2012 17:00;24.48;25.1;2.646;416.6666667;0.588525024
04/06/2012 18:00;23.61;27;2.361;217.7777778;0.40037853
04/06/2012 19:00;22.34;29.99;2.375;60.86111111;0.217817091
04/06/2012 20:00;20.94;34.13;2.052;0;0.048520153
04/06/2012 21:00;19.87;37.66;1.931;0;-0.113446401
04/06/2012 22:00;19.47;42.74;2.054;0;-0.245393293
04/06/2012 23:00;18.93;46.2;1.549;0;-0.345051593
